Experiment	bias spectroscopy	
Saved Date	01.01.2000 00:00:00	
User		
Date	01.01.2000 00:00:00	
X (m)	4.96447E-9	
Y (m)	6.49409E-9	
Z (m)	-173.056E-9	
Z offset (m)	0E+0	
Settling time (s)	800E-6	
Integration time (s)	6E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	01.01.2000 00:00:00	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Input 6 (V)	Bias (V)	OC M1 Freq. Shift (Hz)	Current [bwd] (A)	Input 6 [bwd] (V)	Bias [bwd] (V)	OC M1 Freq. Shift [bwd] (Hz)
4.53200E-1	4.43530E-11	3.58586E-2	4.53200E-1	-2.24997E+1	4.39539E-11	3.97502E-2	4.53200E-1	-2.24160E+1
4.52550E-1	3.66509E-11	3.58770E-2	4.52550E-1	-2.24664E+1	5.03769E-11	3.93695E-2	4.52550E-1	-2.23442E+1
4.51900E-1	3.26423E-11	3.60624E-2	4.51900E-1	-2.22466E+1	4.88427E-11	3.83967E-2	4.51900E-1	-2.24226E+1
4.51250E-1	3.73442E-11	3.59781E-2	4.51250E-1	-2.24234E+1	4.23986E-11	3.74033E-2	4.51250E-1	-2.22498E+1
4.50600E-1	4.45426E-11	3.52212E-2	4.50600E-1	-2.21302E+1	3.74958E-11	3.70374E-2	4.50600E-1	-2.25344E+1
4.49950E-1	4.70114E-11	3.43567E-2	4.49950E-1	-2.24780E+1	3.98216E-11	3.75513E-2	4.49950E-1	-2.25367E+1
4.49300E-1	4.18289E-11	3.42681E-2	4.49300E-1	-2.24666E+1	4.69420E-11	3.81034E-2	4.49300E-1	-2.25031E+1
4.48650E-1	3.44525E-11	3.49978E-2	4.48650E-1	-2.25318E+1	5.07160E-11	3.81135E-2	4.48650E-1	-2.23209E+1
4.48000E-1	3.32955E-11	3.60190E-2	4.48000E-1	-2.24221E+1	4.69174E-11	3.76745E-2	4.48000E-1	-2.22964E+1
4.47350E-1	3.95607E-11	3.66236E-2	4.47350E-1	-2.23252E+1	3.96959E-11	3.75610E-2	4.47350E-1	-2.23594E+1
4.46700E-1	4.59229E-11	3.68929E-2	4.46700E-1	-2.25077E+1	3.69032E-11	3.79621E-2	4.46700E-1	-2.23942E+1
4.46050E-1	4.52322E-11	3.71047E-2	4.46050E-1	-2.22327E+1	4.13116E-11	3.86565E-2	4.46050E-1	-2.28199E+1
