Experiment	bias spectroscopy	
-10.2000E-3	-335.169E-12	4.39753E+0	-336.559E-12	4.47889E+0	-333.779E-12	4.31618E+0	-344.525E-12	4.54564E+0	-347.941E-12	4.67339E+0	-341.109E-12	4.41789E+0
-10.1250E-3	-331.560E-12	4.54160E+0	-334.858E-12	4.56893E+0	-328.261E-12	4.51427E+0	-340.325E-12	4.50894E+0	-345.470E-12	4.67816E+0	-335.180E-12	4.33973E+0
-10.0500E-3	-330.537E-12	4.43221E+0	-332.662E-12	4.44594E+0	-328.411E-12	4.41849E+0	-337.447E-12	4.60535E+0	-343.193E-12	4.69552E+0	-331.702E-12	4.51518E+0
-9.97500E-3	-327.801E-12	4.44571E+0	-332.296E-12	4.52439E+0	-323.305E-12	4.36703E+0	-337.108E-12	4.73963E+0	-343.945E-12	4.85760E+0	-330.270E-12	4.62167E+0
-9.90000E-3	-326.333E-12	4.44961E+0	-328.552E-12	4.46608E+0	-324.114E-12	4.43314E+0	-337.626E-12	4.81638E+0	-345.689E-12	4.80586E+0	-329.563E-12	4.82691E+0
-9.82500E-3	-321.245E-12	4.38982E+0	-324.673E-12	4.32407E+0	-317.817E-12	4.45556E+0	-334.798E-12	4.65302E+0	-332.045E-12	4.64164E+0	-337.550E-12	4.66440E+0
-9.75000E-3	-319.647E-12	4.47401E+0	-324.283E-12	4.48963E+0	-315.010E-12	4.45840E+0	-328.680E-12	4.61586E+0	-335.664E-12	4.70262E+0	-321.696E-12	4.52910E+0
-9.67500E-3	-316.835E-12	4.48240E+0	-321.839E-12	4.52520E+0	-311.831E-12	4.43960E+0	-325.275E-12	4.55739E+0	-327.394E-12	4.70733E+0	-323.156E-12	4.40745E+0
-9.60000E-3	-315.537E-12	4.60282E+0	-319.039E-12	4.56368E+0	-312.035E-12	4.64196E+0	-323.651E-12	4.64896E+0	-330.197E-12	4.67606E+0	-317.105E-12	4.62187E+0
-9.52500E-3	-311.507E-12	4.63766E+0	-312.834E-12	4.65395E+0	-310.180E-12	4.62137E+0	-319.698E-12	4.73049E+0	-326.793E-12	4.73791E+0	-312.603E-12	4.72307E+0
-9.45000E-3	-310.554E-12	4.62360E+0	-312.617E-12	4.64544E+0	-308.491E-12	4.60176E+0	-315.244E-12	4.69905E+0	-319.150E-12	4.78457E+0	-311.339E-12	4.61354E+0
-9.37500E-3	-308.006E-12	4.65035E+0	-314.063E-12	4.67424E+0	-301.950E-12	4.62646E+0	-312.811E-12	4.60089E+0	-317.966E-12	4.73679E+0	-307.656E-12	4.46500E+0
-9.30000E-3	-301.085E-12	4.57977E+0	-304.992E-12	4.69057E+0	-297.177E-12	4.46897E+0	-309.174E-12	4.52496E+0	-312.998E-12	4.64233E+0	-305.350E-12	4.40758E+0
-9.22500E-3	-301.376E-12	4.53700E+0	-304.550E-12	4.58579E+0	-298.201E-12	4.48821E+0	-308.011E-12	4.63623E+0	-313.883E-12	4.81225E+0	-302.139E-12	4.46021E+0
-9.15000E-3	-298.223E-12	4.58766E+0	-297.875E-12	4.56505E+0	-298.570E-12	4.61026E+0	-303.394E-12	4.61120E+0	-306.786E-12	4.68130E+0	-300.003E-12	4.54109E+0
-9.07500E-3	-298.165E-12	4.55880E+0	-304.033E-12	4.64735E+0	-292.298E-12	4.47026E+0	-301.725E-12	4.60948E+0	-305.958E-12	4.61655E+0	-297.493E-12	4.60241E+0
-9.00000E-3	-293.354E-12	4.53707E+0	-297.962E-12	4.61461E+0	-288.745E-12	4.45952E+0	-300.035E-12	4.59872E+0	-304.169E-12	4.67016E+0	-295.901E-12	4.52728E+0
-8.92500E-3	-291.474E-12	4.46695E+0	-295.116E-12	4.51309E+0	-287.831E-12	4.42080E+0	-295.048E-12	4.55155E+0	-300.774E-12	4.63467E+0	-289.322E-12	4.46844E+0
-8.85000E-3	-285.644E-12	4.48815E+0	-287.561E-12	4.55013E+0	-283.728E-12	4.42618E+0	-291.946E-12	4.63247E+0	-295.938E-12	4.56343E+0	-287.953E-12	4.70151E+0
-8.77500E-3	-282.959E-12	4.47476E+0	-285.816E-12	4.51147E+0	-280.102E-12	4.43805E+0	-290.716E-12	4.70650E+0	-295.980E-12	4.74828E+0	-285.452E-12	4.66471E+0
-8.70000E-3	-281.440E-12	4.46373E+0	-283.490E-12	4.56528E+0	-279.391E-12	4.36218E+0	-286.537E-12	4.62935E+0	-290.746E-12	4.63011E+0	-282.328E-12	4.62860E+0
-8.62500E-3	-280.872E-12	4.45661E+0	-284.363E-12	4.45125E+0	-277.380E-12	4.46198E+0	-284.807E-12	4.64529E+0	-288.820E-12	4.72921E+0	-280.795E-12	4.56136E+0
-8.55000E-3	-277.890E-12	4.62800E+0	-281.103E-12	4.58538E+0	-274.677E-12	4.67061E+0	-280.340E-12	4.66347E+0	-284.522E-12	4.71704E+0	-276.158E-12	4.60991E+0
-8.47500E-3	-273.896E-12	4.58559E+0	-276.633E-12	4.59677E+0	-271.159E-12	4.57442E+0	-280.063E-12	4.66955E+0	-284.286E-12	4.70761E+0	-275.840E-12	4.63149E+0
-8.40000E-3	-271.992E-12	4.54002E+0	-275.448E-12	4.55089E+0	-268.535E-12	4.52915E+0	-277.425E-12	4.66730E+0	-283.284E-12	4.64007E+0	-271.565E-12	4.69452E+0
-8.32500E-3	-268.502E-12	4.47753E+0	-270.489E-12	4.49177E+0	-266.515E-12	4.46329E+0	-274.516E-12	4.75432E+0	-275.586E-12	4.59756E+0	-273.446E-12	4.91109E+0
-8.25000E-3	-264.755E-12	4.39122E+0	-265.130E-12	4.29092E+0	-264.380E-12	4.49153E+0	-274.594E-12	4.66566E+0	-274.213E-12	4.62114E+0	-274.975E-12	4.71019E+0
-8.17500E-3	-261.977E-12	4.45945E+0	-263.773E-12	4.34382E+0	-260.180E-12	4.57508E+0	-267.878E-12	4.60843E+0	-271.463E-12	4.69045E+0	-264.293E-12	4.52640E+0
-8.10000E-3	-263.366E-12	4.55880E+0	-265.088E-12	4.52567E+0	-261.644E-12	4.59193E+0	-264.497E-12	4.61407E+0	-270.222E-12	4.73285E+0	-258.773E-12	4.49530E+0
-8.02500E-3	-259.220E-12	4.55848E+0	-263.414E-12	4.51830E+0	-255.026E-12	4.59865E+0	-260.268E-12	4.65527E+0	-265.079E-12	4.80256E+0	-255.457E-12	4.50798E+0
-7.95000E-3	-255.658E-12	4.58670E+0	-258.499E-12	4.60023E+0	-252.816E-12	4.57317E+0	-258.849E-12	4.74916E+0	-262.011E-12	4.79920E+0	-255.686E-12	4.69912E+0
-7.87500E-3	-250.212E-12	4.56474E+0	-252.818E-12	4.51256E+0	-247.606E-12	4.61693E+0	-254.568E-12	4.73012E+0	-259.485E-12	4.76470E+0	-249.651E-12	4.69554E+0
-7.80000E-3	-250.887E-12	4.68224E+0	-252.556E-12	4.65891E+0	-249.218E-12	4.70556E+0	-254.094E-12	4.62954E+0	-255.568E-12	4.76194E+0	-252.619E-12	4.49713E+0
-7.72500E-3	-247.864E-12	4.60251E+0	-251.735E-12	4.65226E+0	-243.994E-12	4.55276E+0	-251.962E-12	4.63631E+0	-253.987E-12	4.74025E+0	-249.938E-12	4.53237E+0
-7.65000E-3	-246.469E-12	4.58416E+0	-253.365E-12	4.66856E+0	-239.573E-12	4.49977E+0	-247.726E-12	4.66554E+0	-251.135E-12	4.68369E+0	-244.316E-12	4.64739E+0
-7.57500E-3	-240.062E-12	4.60697E+0	-241.550E-12	4.72887E+0	-238.574E-12	4.48508E+0	-244.885E-12	4.68339E+0	-247.995E-12	4.66641E+0	-241.775E-12	4.70036E+0
-7.50000E-3	-242.855E-12	4.59381E+0	-249.670E-12	4.67523E+0	-236.040E-12	4.51239E+0	-242.974E-12	4.76786E+0	-243.036E-12	4.73610E+0	-242.912E-12	4.79961E+0
-7.42500E-3	-234.680E-12	4.66132E+0	-238.702E-12	4.71679E+0	-230.658E-12	4.60585E+0	-239.441E-12	4.75602E+0	-241.549E-12	4.77758E+0	-237.334E-12	4.73446E+0
-7.35000E-3	-231.350E-12	4.67554E+0	-232.992E-12	4.71450E+0	-229.709E-12	4.63659E+0	-238.518E-12	4.81914E+0	-241.719E-12	4.81737E+0	-235.317E-12	4.82090E+0
-7.27500E-3	-229.175E-12	4.68124E+0	-229.658E-12	4.62630E+0	-228.692E-12	4.73617E+0	-232.968E-12	4.90559E+0	-235.991E-12	4.86702E+0	-229.944E-12	4.94417E+0
-7.20000E-3	-224.912E-12	4.64240E+0	-227.309E-12	4.61936E+0	-222.515E-12	4.66543E+0	-229.330E-12	4.93625E+0	-232.862E-12	4.90335E+0	-225.798E-12	4.96915E+0
-7.12500E-3	-221.730E-12	4.62455E+0	-222.849E-12	4.57253E+0	-220.611E-12	4.67657E+0	-226.906E-12	4.78359E+0	-230.870E-12	4.82471E+0	-222.941E-12	4.74246E+0
-7.05000E-3	-221.303E-12	4.60432E+0	-221.537E-12	4.55933E+0	-221.069E-12	4.64931E+0	-226.373E-12	4.76430E+0	-229.855E-12	4.87855E+0	-222.891E-12	4.65005E+0
